sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
6,AP,Hospital,Tirupathi,"ESI Hospital, Avilala Post, RC Road, Tirupathi-517507",True,srotirupati.esic.gov.in,ESIS Hospitals | State Government-Run ESI Healthcare Facilities,https://www.srotirupati.esic.gov.in/esis-hospital
7,AP,Hospital,Adhoni,"ESI Dispensary (WEST), Madhavaram Road, Adoni-518301",False,,,
8,AP,Hospital,Godavari,"OPP. AP PAPER MILLS, SRI RAM NAGAR, RAJAHMUNDRY, EAST GODAVARI Dt. 533 102",False,,,
9,AP,Hospital,Vijayawada,"ESI Hospital, Gunadala, Vijayawada-520001, Krishna District, Andhra Pradesh",False,,,
10,AP,Hospital,Vishakhapatnam,"Med Superintendent, ESI Hospital, Gandhigram, Visakhapatnam-530005",False,,,
11,AP,Dispensary,Ananthapuram,"Court Road, Ananthapuram",False,,,
12,AP,Dispensary,Ananthapuram,"Azad nagar, Hindupur, Ananthapur Dist -515201",False,,,
13,AP,Dispensary,Chittor,"NO.3 85-Madara Street, Bargonipalem, Chittoor Dist-517416",False,,,
14,AP,Dispensary,Madanapalli,"Esi Dispensary, Dr C cousins Road, B K Palli, Madanapalli-517325",False,,,
15,AP,Dispensary,Chittor,"Esi Dispensary,9/220 Malleshmanagar, Nagari, Chittoor dist",False,,,
16,AP,Dispensary,Chittor,"Vigneswara Complex, 27/925/2, Puttur Road, Chittoor",False,,,
17,AP,Dispensary,Chittor,"15/681, Sri Ram Nagar Colony, Panagal Post Office Building, Srikalahasthi, Chittoor Dist 517644",False,,,
18,AP,Dispensary,Kadapa,"D.NO: 6/1482, 1ST FLOOR, SANKARAPURAM, KADAPA",False,,,
19,AP,Dispensary,Godavari,"up stairs tellphone exchange, DOWLESWARAM ,East Godavari Dist 533 124",False,,,
20,AP,Dispensary,Godavari,ELURU WEST GODAVARI DIST 534005,False,,,
21,AP,Dispensary,Godavari,"D No 15-3-15A, Near Rly Station, Old DSF office, Bapuji Nagar, KOVVURU, West Godavari Dist. 534 350",False,,,
22,AP,Dispensary,Godavari,"H No 11-4-37, NIDADAVOLE, West Godavari Dist 534301",False,,,
23,AP,Dispensary,Godavari,"H No 9-13-1/A, Tanuku Road, TADEPALLIGUDEM, West Godavari Dist 534 102",False,,,
24,AP,Dispensary,Godavari,"H.No 22-124/4, Sajjapuram, TANUKU, West Godavari Dist. 534211",False,,,
25,AP,Dispensary,Godavari,"H.No 3-59, VEKOPA, West Godavari Dist 534 210",False,,,
26,AP,Dispensary,Guntur,"ESI Dispensary(K.Nagar), Devapuram, 1st Line, Guntur 522006",False,,,
27,AP,Dispensary,Guntur,"D.No.5/741, Beside SKT Traders, Opp APSRTC Busstand, Chilakaluripeta - 522616, Guntur District, AP",False,,,
28,AP,Dispensary,Guntur,"H.no: 2-168, Nallapadu, Guntur Dist.-522005",False,,,
29,AP,Dispensary,Guntur,"Pedakakani, Guntur Dist-522503",False,,,
30,AP,Dispensary,Guntur,"ESI DISPENSARY, P V THOTA, GUNTUR",False,,,
31,AP,Dispensary,Vijayawada,"UNDAVALLI, Tadepalli Mandal, Vijayawada",True,justdial.com,"Esi Dispensary in Undavalli,Guntur - Best Clinics near me in Guntur ...",https://www.justdial.com/Guntur/Esi-Dispensary-Undavalli/9999PX863-X863-100824124935-M7B9_BZDET
32,AP,Dispensary,Kotnur,"Kotnur, Hindupur",False,,,
33,AP,Dispensary,Proddatur,"A.P VIDYA VIDHANA PARISHAD COMPOUND, PRODDATUR-516360",False,,,
34,AP,Dispensary,Kadapa,"4/1292, OPP. Z.P. HIGH SCHOOL, I.C.L ROAD, YERRAGUNTLA, KADAPA",False,,,
35,AP,Dispensary,Veravalli,"VERAVALLI, BAPULAPADU (GUISINA)-521110",False,,,
36,AP,Dispensary,Penamaluru,"D No: 12-109, bridge down, Penamaluru, Krishna Dist-521139",False,,,
37,AP,Dispensary,Jaggayyapeta,"D NO:3-73, BESIDE CHILLAKALLU POLICE STATION, CHILLAKALLU, JAGGAYYAPETA, KRISHNA DIST.521175",False,,,
38,AP,Dispensary,Vijayawada,"Near telephone Exchange, Beside fire station, 100 Ft Road, Auto Nagar, Vijayawada",False,,,
39,AP,Dispensary,Vijayawada,"Vijaya Lakshmi Nilayam, D.No: 24-21-3, Ashramam Street, Durga Puram, Vijayawada",False,,,
40,AP,Dispensary,Vijayawada,"D No: 24-21-3, Vijaya Lakshmi Nilayam, Asram Street, Near Bomma Center, Durgapura, Vijayawada",False,,,
41,AP,Dispensary,Vijayawada,Vijayawada,False,,,
42,AP,Dispensary,Vijayawada,"Bhavanipuram, Vijayawada, pin: 520012",False,,,
43,AP,Dispensary,Kurnool,"ESI Quarter, ESI Dispensary West, Madhavpuram Road, Adoni-518301, Kurnool Dist AP",False,,,
44,AP,Dispensary,Adhoni,"House No. 27/10, SKD Colony, Rth Road, Adoni -518301",False,,,
45,AP,Dispensary,Kurnool,"ESI DISPENSARY, NEAR GOVT HOSPITAL, OPP:PETROL BUNK, BUDHAWARPET, KURNOOL-518001",False,,,
46,AP,Dispensary,Kurnool,"ESI DISPENSARY, NEAR OLD BUS STAND ROAD, GONEGANDLA, KURNOOL-518001",False,,,
47,AP,Dispensary,Kurnool,"ESI DISPENSARY, NEAR KOVVURU SATRAM, KADAPA ROAD, NANDYALA, KURNOOL",False,,,
48,AP,Dispensary,Kurnool,"H.NO:1/526, Opp RTC Bus Stand, YEMMIGANUR-518360, Kurnool Dt., ANDHRA PRADESH.",True,justdial.com,"ESI Dispensary in Kurnool Bazar,Kurnool - Best Clinics near me in ...",https://www.justdial.com/Kurnool/ESI-Dispensary-Kurnool-Bazar/9999P8518-8518-101226182343-V5W4_BZDET
49,AP,Dispensary,Nellore,"7/208, Narsingaraopet, Near Ramalayam, Gudur, Nellore Dist. 524101",False,,,
50,AP,Dispensary,Nellore,"1/47, LIC Nagar, Nawabpet, Nellore-2",False,,,
51,AP,Dispensary,Nellore,"Esic Dispensary, Sullurupeta, Nellore district.",False,,,
52,AP,Dispensary,Tada,DNO.3/1(D) OPP TO R&B GUEST HOUSE GNT ROAD TADA-524401,False,,,
53,AP,Dispensary,Chirala,"ESI Dispensary, Near Prasad Theatre, Prakasam Dist., Chirala-523155",False,,,
54,AP,Dispensary,Guntur,"MACHERLA, GUNTUR-522426",False,,,
55,AP,Dispensary,Markapur,"H.no-4-286, beside masjid kondepalli road, wadde bazar, markapur, prakasam district, AP, 523316.",False,,,
56,AP,Dispensary,Tirupathi,"No. Type V, No.4, ESI Hospital Staff Quarters, Avilala Post, Tirupathi North 517506",False,,,
57,AP,Dispensary,Vishakhapatnam,"Chittivalasa, Visakhapatnam",False,,,
58,AP,Dispensary,Vishakhapatnam,"C/o The Incharge Medical Officer, ESI Dispensary, Ganthigram, Flat No. 104, D.No. 63-3-74, Jawahar Nagar, Sri Hari Puram, Vishakhapatnam, 530011",False,,,
59,AP,Dispensary,Vishakhapatnam,"Gopalapatnam, Visakhapatnam",False,,,
60,AP,Dispensary,Vishakhapatnam,"Industrial Estate, Kancharapalem, Visakhapatnam, A. P.",False,,,
61,AP,Dispensary,Vishakhapatnam,"ESI Dispensary, Kothavalasa, Visakhapatnam. SITE CODE: ESICDSAPVIKOTO",False,,,
62,AP,Dispensary,Vishakhapatnam,"ESI DISPENSARY, RAMNAGAR, VISAKHAPATNAM. SITE CODE: ESICDSAPVIRAMO",False,,,
63,AP,Dispensary,Vizianagaram,"SHRIRAM NAGAR, GARIVIDI, VIZIANAGARAM",False,,,
64,AP,Dispensary,Godavari,"ESI DISPENSARY, HIG-2, AP HOUSING BOARD COLONY, BHIMAVARAM, West Godavari District-534201",False,,,
65,AP,Dispensary,Ananthapuram,"D No: 3/293, Amaravathi Street, Tadipatri, Ananthpur District",False,,,
66,AP,Dispensary,Godavari,"NEAR PANCHAYATHI OFFICE, KADIYAM, EAST GODAVARI 533126",False,,,
67,AP,Dispensary,Kakinada,"ESI DISPENSARY, SAMBAMURTHY NAGAR, KAKINADA 533007",False,,,
68,AP,Dispensary,Rajahmundry,"D NO: 72-14-1/1, SAIDURGA NAGAR LALACHERUVU, RAJAHMUNDRY",False,,,
